name,code,alias,level,status,latitude,longitude,parent_name,parent_code
Саратовская область,63,saratovskaia-oblast,1,FALSE,51.578529,46.797223,,
Воронежская область,20,voronezhskaia-oblast,1,TRUE,50.970898,40.233395,,
Белгородская область,14,belgorodskaia-oblast,1,FALSE,50.872231,37.303198,,
Республика Алтай,84,respublika-altai,1,FALSE,50.73624,87.015454,,
Сахалинская область,64,sakhalinskaia-oblast,1,FALSE,50.150926,142.750797,,
Волгоградская область,18,volgogradskaia-oblast,1,TRUE,49.615821,44.151406,,
Еврейская автономная область,99,evreiskaia-avtonomnaia-oblast,1,FALSE,48.522902,132.257612,,
Ростовская область,60,rostovskaia-oblast,1,FALSE,47.728732,41.268128,,
Астраханская область,12,astrakhanskaia-oblast,1,FALSE,46.851463,47.466189,,
Республика Калмыкия,85,respublika-kalmykiia,1,FALSE,46.414024,45.325701,,
Республика Крым,35,respublika-krym,1,FALSE,45.389194,33.993751,,
Краснодарский край,3,krasnodarskii-krai,1,TRUE,45.272365,38.951409,,
Приморский край,5,primorskii-krai,1,FALSE,45.04198,134.709375,,
Республика Адыгея (Адыгея),79,respublika-adygeia-adygeia,1,FALSE,45.020131,38.932598,,
Ставропольский край,7,stavropolskii-krai,1,FALSE,44.953551,43.344521,,
Севастополь,67,sevastopol,1,FALSE,44.616687,33.525432,,
Карачаево-Черкесская Республика,91,karachaevo-cherkesskaia-respublika,1,FALSE,43.770947,41.753928,,
Кабардино-Балкарская Республика,83,kabardino-balkarskaia-respublika,1,FALSE,43.494396,43.408274,,
Чеченская Республика,96,chechenskaia-respublika,1,FALSE,43.305784,45.747667,,
Республика Ингушетия,26,respublika-ingushetiia,1,FALSE,43.10359,45.054581,,
Республика Северная Осетия-Алания,90,respublika-severnaia-osetiia-alaniia,1,FALSE,43.092669,44.262033,,
Республика Дагестан,82,respublika-dagestan,1,FALSE,42.259793,47.095742,,
Анабарский Национальный район,98210,anabarskii-natsionalnyi-raion,2,,72.825638,114.690104,Республика Саха (Якутия),98
Таймырский район,4100,taimyrskii-raion,2,,72.578373,96.471354,Красноярский край,4
Новая Земля,11243,novaia-zemlia,2,,71.148278,55.742017,Архангельская область,11
Булунский район,98212,bulunskii-raion,2,,71.093296,125.973223,Республика Саха (Якутия),98
Аллаиховский район,98206,allaikhovskii-raion,2,,70.815541,146.896917,Республика Саха (Якутия),98
Усть-Янский район,98256,ust-ianskii-raion,2,,70.689407,134.936891,Республика Саха (Якутия),98
Ямальский район,71168,iamalskii-raion,2,,70.003712,70.328852,Ямало-Ненецкий автономный округ,71140
Нижнеколымский район,98237,nizhnekolymskii-raion,2,,69.702341,157.398959,Республика Саха (Якутия),98
Заозерск,47533,zaozersk,2,,69.400373,32.450139,Мурманская область,47
Норильск,44290,norilsk,2,,69.349033,88.201176,Красноярский край,4
пос. Видяево,47555,pos-vidiaevo,2,,69.31849,32.79255,Мурманская область,47
Печенгский район,47215,pechengskii-raion,2,,69.254518,30.597903,Мурманская область,47
Александровск,475551,aleksandrovsk,2,,69.198909,33.451033,Мурманская область,47
Североморск,47530,severomorsk,2,,69.076631,33.417814,Мурманская область,47
Мурманск,47401,murmansk,2,,68.970682,33.074981,Мурманская область,47
Чаунский район,77230,chaunskii-raion,2,,68.888635,172.428771,Чукотский автономный округ,77
Оленёкский  район,98242,oleniokskii-raion,2,,68.765649,114.252849,Республика Саха (Якутия),98
Кольский район,47205,kolskii-raion,2,,68.629965,31.75876,Мурманская область,47
Абыйский район,98201,abyiskii-raion,2,,68.314809,144.84618,Республика Саха (Якутия),98
Иультинский район,77215,iultinskii-raion,2,,68.087557,177.339546,Чукотский автономный округ,77
Островной,47531,ostrovnoi,2,,68.05439,39.514105,Мурманская область,47
Полярнозорский,47419,poliarnozorskii,2,,67.926546,34.157046,Мурманская область,47
Апатитский,47405,apatitskii,2,,67.926546,34.157046,Мурманская область,47
Кировский,47412,kirovskii,2,,67.926546,34.157046,Мурманская область,47
Оленегорский,47417,olenegorskii,2,,67.926546,34.157046,Мурманская область,47
Мончегорский,47415,monchegorskii,2,,67.926546,34.157046,Мурманская область,47
Эвено-Бытантайский Национальный район,98259,eveno-bytantaiskii-natsionalnyi-raion,2,,67.912864,129.690496,Республика Саха (Якутия),98
Тазовский район,71163,tazovskii-raion,2,,67.875308,80.351481,Ямало-Ненецкий автономный округ,71140
Среднеколымский район,98246,srednekolymskii-raion,2,,67.806491,153.52616,Республика Саха (Якутия),98
Верхоянский район,98216,verkhoianskii-raion,2,,67.784182,135.255685,Республика Саха (Якутия),98
Ненецкий АО,11100,nenetskii-ao,2,,67.714212,54.365062,Ненецкий автономный округ,10011
Ловозерский район,47210,lovozerskii-raion,2,,67.66192,37.699993,Мурманская область,47
Ковдорский район,47203,kovdorskii-raion,2,,67.552784,31.098983,Мурманская область,47
Воркута,87410,vorkuta,2,,67.49741,64.061091,Республика Коми,87
Билибинский район,77209,bilibinskii-raion,2,,67.200958,163.785334,Чукотский автономный округ,77
Жиганский район,98222,zhiganskii-raion,2,,67.141987,123.127899,Республика Саха (Якутия),98
Кандалакшский район,47408,kandalakshskii-raion,2,,66.954784,31.278934,Мурманская область,47
Приуральский район,71158,priuralskii-raion,2,,66.870715,67.647228,Ямало-Ненецкий автономный округ,71140
Момский Национальный район,98233,momskii-natsionalnyi-raion,2,,66.662208,141.251598,Республика Саха (Якутия),98
Лабытнанги,71173,labytnangi,2,,66.659365,66.388266,Ямало-Ненецкий автономный округ,71140
Терский район,47220,terskii-raion,2,,66.578113,36.625284,Мурманская область,47
Салехард,71171,salekhard,2,,66.530715,66.613806,Ямало-Ненецкий автономный округ,71140
Чукотский район,77233,chukotskii-raion,2,,66.244592,-172.682662,Чукотский автономный округ,77
Новый Уренгой,71176,novyi-urengoi,2,,66.083963,76.680974,Ямало-Ненецкий автономный округ,71140
Инта,87415,inta,2,,66.03682,60.115367,Республика Коми,87
Усинск,87423,usinsk,2,,65.994144,57.55701,Республика Коми,87
Лоухский район,86221,loukhskii-raion,2,,65.900959,32.023817,Республика Карелия,86
Верхнеколымский район,98215,verkhnekolymskii-raion,2,,65.838468,150.318941,Республика Саха (Якутия),98
Усть-Цилемский район,87252,ust-tsilemskii-raion,2,,65.803648,51.534309,Республика Коми,87
Мезенский район,11242,mezenskii-raion,2,,65.787922,44.461666,Архангельская область,11
Шурышкарский район,71166,shuryshkarskii-raion,2,,65.325726,65.296292,Ямало-Ненецкий автономный округ,71140
Кемский район,86212,kemskii-raion,2,,65.279283,34.122299,Республика Карелия,86
Ижемский район,87204,izhemskii-raion,2,,65.220423,53.882801,Республика Коми,87
Провиденский район,77220,providenskii-raion,2,,65.123776,-174.489138,Чукотский автономный округ,77
